Linux 5.4.0-58-generic (Elliot) 	26/12/20 	_x86_64_	(2 CPU)

18:48:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:50:17        all      7,50      1,00      1,00      0,00      0,00     90,50
18:50:18        all      7,61      2,54      1,02      0,00      0,00     88,83
18:50:19        all     10,00      0,50      1,50      0,00      0,00     88,00
18:50:20        all      6,63      2,04      0,00      0,00      0,00     91,33
18:50:21        all      8,46      1,49      1,49      2,49      0,00     86,07
18:50:22        all     34,18     16,84      0,51      0,00      0,00     48,47
18:50:23        all     29,15     14,07      1,51      0,00      0,00     55,28
18:50:24        all     61,08     29,56      1,48      0,49      0,00      7,39
18:50:25        all     58,29     33,67      1,51      0,00      0,00      6,53
18:50:26        all     64,32     26,63      1,01      0,00      0,00      8,04
18:50:27        all     62,19     29,35      1,00      0,00      0,00      7,46
18:50:28        all     62,31     30,15      1,51      0,00      0,00      6,03
18:50:29        all     59,30     36,68      0,00      0,00      0,00      4,02
18:50:30        all     61,11     32,32      1,52      0,00      0,00      5,05
18:50:31        all     58,71     34,83      1,00      0,00      0,00      5,47
18:50:32        all     62,56     27,59      0,99      0,00      0,00      8,87
18:50:33        all      9,05      1,51      0,00      0,00      0,00     89,45
18:50:34        all     11,11      0,51      1,52      0,00      0,00     86,87
18:50:35        all      9,36      0,99      1,97      0,49      0,00     87,19
18:50:36        all      6,57      3,03      2,02      0,00      0,00     88,38
18:50:37        all      9,41      2,48      0,99      0,00      0,00     87,13
18:50:38        all      8,12      1,02      1,52      2,03      0,00     87,31
18:50:39        all      8,12      1,52      0,51      0,00      0,00     89,85
18:50:40        all      9,00      1,50      0,50      0,00      0,00     89,00
18:50:41        all      9,45      1,99      1,00      0,00      0,00     87,56
18:50:42        all      7,00      1,50      2,00      0,00      0,00     89,50
18:50:43        all      7,58      0,51      0,51      2,02      0,00     89,39
18:50:44        all      8,00      2,00      1,00      0,00      0,00     89,00
18:50:45        all      7,18      1,54      0,51      0,00      0,00     90,77
18:50:46        all      7,54      1,01      0,50      0,00      0,00     90,95
18:50:47        all      8,42      1,49      0,99      0,00      0,00     89,11
18:50:48        all      7,11      1,52      0,51      2,54      0,00     88,32
18:50:49        all      7,61      1,02      1,52      0,00      0,00     89,85
18:50:50        all      8,96      2,99      0,50      0,00      0,00     87,56
18:50:51        all      7,61      2,03      1,02      0,00      0,00     89,34
18:50:52        all      6,06      1,01      1,01      0,00      0,00     91,92
18:50:53        all      9,09      1,01      0,00      3,03      0,00     86,87
18:50:54        all      7,61      1,52      0,00      0,00      0,00     90,86
18:50:55        all      7,54      2,01      1,51      0,00      0,00     88,94
18:50:56        all      9,00      1,00      1,00      0,00      0,00     89,00
18:50:57        all     22,11      9,05      1,01      0,00      0,00     67,84
18:50:58        all     17,09      5,53      0,50      0,00      0,00     76,88
18:50:59        all      9,05      2,01      1,01      2,51      0,00     85,43
18:51:00        all      8,00      2,00      1,00      0,00      0,00     89,00
18:51:01        all      9,60      1,52      0,51      0,00      0,00     88,38
18:51:02        all      8,54      2,01      0,50      0,00      0,00     88,94
18:51:03        all      7,00      2,00      2,00      1,50      0,00     87,50
18:51:04        all      7,58      1,01      1,01      0,00      0,00     90,40
18:51:05        all      8,67      2,04      0,00      1,53      0,00     87,76
