Linux 5.4.0-58-generic (Elliot) 	26/12/20 	_x86_64_	(2 CPU)

18:33:34        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:36:04        all     12,31      0,00      7,69      0,00      0,00     80,00
18:36:05        all     13,57      0,00     13,07      0,00      0,00     73,37
18:36:06        all      9,64      0,00     10,15      0,00      0,00     80,20
18:36:07        all      8,16      0,00      9,18      0,00      0,00     82,65
18:36:08        all      8,67      0,00      7,14      2,55      0,00     81,63
18:36:09        all     14,50      0,00     12,00      0,00      0,00     73,50
18:36:10        all     13,50      0,00     11,00      0,00      0,00     75,50
18:36:11        all     12,89      0,00     10,31      0,00      0,00     76,80
18:36:12        all     10,89      0,00      8,91      0,00      0,00     80,20
18:36:13        all      7,46      0,00      9,95      1,49      0,00     81,09
18:36:14        all     10,45      0,00     10,95      0,00      0,00     78,61
18:36:15        all     10,61      0,00      8,08      0,00      0,00     81,31
18:36:16        all     12,92      0,00     11,96      0,00      0,00     75,12
18:36:17        all     11,76      0,00     12,75     19,12      0,00     56,37
18:36:18        all     10,66      0,00     11,68     49,75      0,00     27,92
18:36:19        all      5,76      0,00      9,95     46,07      0,00     38,22
18:36:20        all      8,81      0,00      7,25      8,29      0,00     75,65
18:36:21        all      8,12      0,00      8,63      0,00      0,00     83,25
18:36:22        all     13,57      0,00     10,05      0,00      0,00     76,38
18:36:23        all      9,79      0,00      9,79      2,58      0,00     77,84
18:36:24        all      7,11      0,00      8,63      0,00      0,00     84,26
18:36:25        all     10,47      0,00      5,76      0,00      0,00     83,77
18:36:26        all     11,46      0,00      8,33      0,00      0,00     80,21
18:36:27        all     10,55      0,00      7,04      0,00      0,00     82,41
18:36:28        all      5,03      0,00      6,53      2,51      0,00     85,93
18:36:29        all      8,08      0,00      9,60      0,00      0,00     82,32
18:36:30        all      9,55      0,00      7,54      0,00      0,00     82,91
18:36:31        all      6,67      0,00      8,72      0,00      0,00     84,62
18:36:32        all     10,15      0,00     10,66      0,00      0,00     79,19
18:36:33        all      8,67      0,51      8,67      2,55      0,00     79,59
18:36:34        all      8,29      0,00      9,33      0,00      0,00     82,38
18:36:35        all     12,63      0,00     11,62      0,00      0,00     75,76
18:36:36        all      6,77      0,00      6,77      0,00      0,00     86,46
18:36:37        all      4,69      0,00      6,77      0,00      0,00     88,54
18:36:38        all      8,63      0,00     12,18      2,54      0,00     76,65
18:36:39        all     11,34      0,00     10,31      0,00      0,00     78,35
18:36:40        all     11,34      0,00      8,25      0,00      0,00     80,41
18:36:41        all     10,36      0,00     10,88      0,00      0,00     78,76
18:36:42        all     11,92      0,00      9,84      0,00      0,00     78,24
18:36:43        all      8,25      0,00      6,70      0,00      0,00     85,05
18:36:44        all     10,47      0,00      5,76      2,62      0,00     81,15
18:36:45        all     12,12      0,00      8,08      0,00      0,00     79,80
18:36:46        all      8,63      0,00     10,15      0,00      0,00     81,22
18:36:47        all      6,12      0,00      7,14      0,00      0,00     86,73
18:36:48        all      7,11      0,00      8,12      0,00      0,00     84,77
18:36:49        all     11,06      0,00     10,55      2,51      0,00     75,88
18:36:50        all     12,89      0,00      8,76      6,70      0,00     71,65
18:36:51        all     10,82      0,52      7,73     44,33      0,00     36,60
18:36:52        all      7,29      0,00     10,42     43,23      0,00     39,06
18:36:53        all     12,18      0,00      8,12      1,02      0,00     78,68
18:36:54        all     13,57      0,00      8,04      0,00      0,00     78,39
18:36:55        all     11,33      0,00     10,34      2,46      0,00     75,86
18:36:56        all     16,26      0,00      8,87      3,45      0,00     71,43
18:36:57        all     13,13      0,00      9,60      5,56      0,00     71,72
18:36:58        all     10,82      0,00     11,86      0,00      0,00     77,32
18:36:59        all     13,57      0,00     11,06      0,00      0,00     75,38
18:37:00        all      6,60      0,00      6,60      0,00      0,00     86,80
18:37:01        all     11,11      0,00      9,09      3,03      0,00     76,77
18:37:02        all     13,50      0,00     14,00      0,00      0,00     72,50
18:37:03        all      8,81      0,00      9,33      0,00      0,00     81,87
18:37:04        all      9,55      0,00      6,53      0,00      0,00     83,92
18:37:05        all      9,18      0,00      7,14      0,00      0,00     83,67
18:37:06        all      9,09      0,00     10,10      0,00      0,00     80,81
18:37:07        all     14,22      0,00      7,84      1,96      0,00     75,98
18:37:08        all      8,76      0,00     11,86      0,00      0,00     79,38
18:37:09        all     11,06      0,00     11,06      0,50      0,00     77,39
18:37:10        all     11,22      0,00     10,71      0,00      0,00     78,06
18:37:11        all     11,46      0,00     11,46      0,00      0,00     77,08
18:37:12        all     12,62      0,00     16,99      2,43      0,00     67,96
18:37:13        all      9,38      0,00      7,81      0,00      0,00     82,81
18:37:14        all     10,15      0,00      9,14      0,00      0,00     80,71
18:37:15        all     12,18      0,00      9,14      0,00      0,00     78,68
18:37:16        all     12,44      0,00     10,88      0,00      0,00     76,68
18:37:17        all     13,27      0,00      9,18      0,00      0,00     77,55
18:37:18        all     15,46      0,00     10,82      2,06      0,00     71,65
18:37:19        all     10,15      0,00      9,64      0,00      0,00     80,20
18:37:20        all     12,37      0,00      8,76      0,00      0,00     78,87
18:37:21        all      9,69      0,00      9,18      0,00      0,00     81,12
18:37:22        all     10,70      0,00      9,09      0,00      0,00     80,21
18:37:23        all     11,62      0,00      8,08      6,06      0,00     74,24
18:37:24        all      7,77      0,00     10,88     55,44      0,00     25,91
18:37:25        all      9,64      0,00      9,64     51,78      0,00     28,93
18:37:26        all      9,38      0,00      6,77     19,27      0,00     64,58
18:37:27        all     14,07      0,00      8,54      0,00      0,00     77,39
18:37:28        all     16,58      0,00     12,56      0,00      0,00     70,85
18:37:29        all     12,24      0,00     10,71      0,00      0,00     77,04
18:37:30        all      7,77      0,00     10,36      2,07      0,00     79,79
18:37:31        all      7,73      0,00      7,73      0,00      0,00     84,54
18:37:32        all      9,28      0,00      6,19      0,00      0,00     84,54
18:37:33        all     10,20      0,00     10,71      0,00      0,00     79,08
18:37:34        all     11,44      0,00     10,45      0,00      0,00     78,11
18:37:35        all     10,77      0,00     10,26      2,05      0,00     76,92
18:37:36        all     10,73      0,00     13,66      0,00      0,00     75,61
18:37:37        all      8,72      0,00      9,74      0,00      0,00     81,54
18:37:38        all     13,50      0,00     11,00      0,00      0,00     75,50
18:37:39        all     14,15      0,00     11,71      0,49      0,00     73,66
18:37:40        all      8,63      0,00      8,12      1,52      0,00     81,73
18:37:41        all      8,16      0,00      7,14      0,00      0,00     84,69
18:37:42        all     14,07      0,00      9,55      0,00      0,00     76,38
18:37:43        all      9,05      0,00     11,56      0,00      0,00     79,40
18:37:44        all     11,34      0,00      9,79      0,00      0,00     78,87
18:37:45        all      8,21      0,00      6,15      2,56      0,00     83,08
18:37:46        all      7,69      0,00      9,23      0,00      0,00     83,08
18:37:47        all      9,42      0,00     10,47      0,00      0,00     80,10
18:37:48        all     10,71      0,00      9,18      0,00      0,00     80,10
18:37:49        all      6,25      0,00      6,77      0,00      0,00     86,98
18:37:50        all      7,96      0,00     11,44      1,99      0,00     78,61
18:37:51        all     12,18      0,00      6,09      0,00      0,00     81,73
18:37:52        all      9,60      0,00      9,09      0,00      0,00     81,31
18:37:53        all      7,61      0,00      7,11      0,00      0,00     85,28
18:37:54        all     10,61      0,00      7,58      0,00      0,00     81,82
18:37:55        all      8,42      0,00      4,21      2,11      0,00     85,26
18:37:56        all     11,23      0,00      8,56      0,00      0,00     80,21
18:37:57        all     10,99      0,00      8,38     37,17      0,00     43,46
18:37:58        all     10,64      0,00      9,04     47,34      0,00     32,98
18:37:59        all     10,26      0,00      8,21      8,21      0,00     73,33
18:38:00        all      8,90      0,00      8,38      2,62      0,00     80,10
18:38:01        all      7,77      0,52      5,18      0,00      0,00     86,53
18:38:02        all      6,19      0,00      7,73      0,00      0,00     86,08
18:38:03        all      8,04      0,50      8,04      0,00      0,00     83,42
18:38:04        all      5,73      0,00      5,21      0,00      0,00     89,06
18:38:05        all     17,17      0,51      9,60      4,55      0,00     68,18
18:38:06        all      1,04      0,00      0,00      0,00      0,00     98,96
18:38:07        all      1,52      0,00      2,03      0,00      0,00     96,45
18:38:08        all      1,51      0,00      1,51      7,04      0,00     89,95
18:38:09        all      3,55      0,00      0,00      0,00      0,00     96,45
18:38:10        all      0,51      0,00      0,51      3,08      0,00     95,90
18:38:11        all      1,51      0,00      1,01      0,00      0,00     97,49


Average:        all      7,07      0,02      6,13      2,50      0,00     84,29
