Linux 5.4.0-58-generic (Elliot) 	27/12/20 	_x86_64_	(2 CPU)

11:56:24        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:59:05        all      0,00      0,00      0,00      1,01      0,00     98,99
11:59:06        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:07        all      0,00      0,00      0,50      0,00      0,00     99,50
11:59:08        all      0,50      0,00      0,00      0,00      0,00     99,50
11:59:09        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:10        all      0,00      0,00      0,50      0,50      0,00     98,99
11:59:11        all      0,50      0,00      0,00      0,00      0,00     99,50
11:59:12        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:13        all      0,50      0,00      0,00      0,00      0,00     99,50
11:59:14        all      0,50      0,00      0,00      0,00      0,00     99,50
11:59:15        all      0,00      0,00      0,99      0,99      0,00     98,02
11:59:16        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:17        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:18        all      0,00      0,00      0,50      0,00      0,00     99,50
11:59:19        all      0,50      0,00      0,00      0,00      0,00     99,50
11:59:20        all      0,00      0,00      0,00      0,51      0,00     99,49
11:59:21        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:22        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:23        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:24        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:25        all      0,00      0,00      0,00      0,51      0,00     99,49
11:59:26        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:27        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:28        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:29        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:30        all      0,50      0,00      0,00      1,00      0,00     98,51
11:59:31        all      0,00      0,00      0,50      0,00      0,00     99,50
11:59:32        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:33        all      0,50      0,00      0,00      0,00      0,00     99,50
11:59:34        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:35        all      0,00      0,00      0,00      0,51      0,00     99,49
11:59:36        all      0,50      0,50      0,50      0,00      0,00     98,51
11:59:37        all      0,00      0,00      0,50      0,00      0,00     99,50
11:59:38        all      0,50      0,00      1,00      0,00      0,00     98,51
11:59:39        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:40        all      0,50      0,00      0,00      0,50      0,00     99,00
11:59:41        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:42        all      0,00      0,00      0,50      0,00      0,00     99,50
11:59:43        all      0,99      0,00      0,49      0,00      0,00     98,52
11:59:44        all      0,50      0,00      0,50      0,00      0,00     99,00
11:59:45        all      0,00      0,00      0,00      0,50      0,00     99,50
11:59:46        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:47        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:48        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:49        all      0,50      0,00      0,00      0,00      0,00     99,50
11:59:50        all      0,50      0,00      0,00      1,00      0,00     98,51
11:59:51        all      0,00      0,00      0,50      0,00      0,00     99,50
11:59:52        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:53        all      0,50      0,00      0,00      0,00      0,00     99,50
11:59:54        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:55        all      0,00      0,00      0,00      0,50      0,00     99,50
11:59:56        all      0,50      0,00      0,00      0,00      0,00     99,50
11:59:57        all      0,00      0,50      0,00      0,00      0,00     99,50
11:59:58        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:59        all      0,50      0,00      0,50      0,00      0,00     99,00
12:00:00        all      0,00      0,00      0,00      0,51      0,00     99,49
12:00:01        all      0,50      0,00      0,00      0,00      0,00     99,50
12:00:02        all      0,00      0,00      0,50      0,00      0,00     99,50
12:00:03        all      0,00      0,00      0,50      0,00      0,00     99,50
12:00:04        all      0,00      0,00      0,50      0,00      0,00     99,50
12:00:05        all      0,00      0,00      0,00      1,01      0,00     98,99
12:00:06        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:07        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:08        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:09        all      0,50      0,00      0,50      0,00      0,00     99,00
12:00:10        all      0,50      0,00      0,50      0,50      0,00     98,51
12:00:11        all      0,00      0,00      0,50      0,00      0,00     99,50
12:00:12        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:13        all      0,50      0,00      0,50      0,00      0,00     99,00
12:00:14        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:15        all      0,50      0,00      0,00      0,50      0,00     99,00
12:00:16        all      0,50      0,00      0,00      0,00      0,00     99,50
12:00:17        all      0,50      0,00      0,00      0,00      0,00     99,50
12:00:18        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:19        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:20        all      0,50      0,00      0,00      0,50      0,00     98,99
12:00:21        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:22        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:23        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:24        all      0,50      0,00      0,00      0,00      0,00     99,50
12:00:25        all      0,00      0,00      0,00      1,51      0,00     98,49
12:00:26        all      0,50      0,00      0,00      0,00      0,00     99,50
12:00:27        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:28        all      0,50      0,00      0,00      0,00      0,00     99,50
12:00:29        all      0,50      0,00      0,00      0,00      0,00     99,50
12:00:30        all      0,00      0,00      0,50      1,00      0,00     98,50
12:00:31        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:32        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:33        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:34        all      1,00      0,00      0,00      0,00      0,00     99,00
12:00:35        all      0,00      0,00      0,50      0,50      0,00     99,00
12:00:36        all      0,00      0,50      0,50      0,00      0,00     99,00
12:00:37        all      0,00      0,50      0,50      0,00      0,00     99,00
12:00:38        all      0,50      0,00      0,50      0,00      0,00     99,00
12:00:39        all      0,50      0,00      0,00      0,00      0,00     99,50
12:00:40        all      0,50      0,00      0,00      1,01      0,00     98,49
12:00:41        all      0,00      0,00      0,50      0,00      0,00     99,50
12:00:42        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:43        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:44        all      1,49      0,00      0,00      0,00      0,00     98,51
12:00:45        all      0,00      0,00      0,50      0,50      0,00     98,99
12:00:46        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:47        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:48        all      0,50      0,00      0,50      0,00      0,00     98,99
12:00:49        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:50        all      0,00      0,00      0,50      1,01      0,00     98,49
12:00:51        all      0,00      0,00      0,50      0,00      0,00     99,50
12:00:52        all      0,00      0,00      0,00      0,00      0,00    100,00
12:00:53        all      0,00      0,00      0,50      0,00      0,00     99,50
12:00:54        all      0,50      0,00      0,50      0,00      0,00     99,00
